,date,capacity,turnover,open,high,low,close,change,transaction
0,2020-09-01,4042629,494683409,126.5,128.5,123.5,128.0,2.0,2088
1,2020-09-02,3944843,503021162,129.0,129.0,126.0,127.5,-0.5,2245
2,2020-09-03,3522492,448798476,129.0,129.5,126.0,127.5,0.0,2260
3,2020-09-04,3251476,404383476,124.5,125.5,123.5,125.0,-2.5,2235
4,2020-09-07,2382769,292801587,125.0,126.0,122.0,122.0,-3.0,1814
5,2020-09-08,4345927,522069698,122.5,123.0,119.0,119.5,-2.5,3152
6,2020-09-09,3479878,414013048,118.0,122.5,117.5,122.5,3.0,1864
7,2020-09-10,2766426,335932829,123.0,125.0,119.0,119.5,-3.0,1991
8,2020-09-11,2561931,304953113,120.0,121.0,117.0,121.0,1.5,1452
9,2020-09-14,3553271,438260732,122.0,125.0,120.5,124.5,3.5,2131
10,2020-09-15,5293289,674379492,124.5,129.0,124.0,128.0,3.5,3139
11,2020-09-16,4449333,572970952,130.0,131.0,126.0,127.0,-1.0,2783
12,2020-09-17,1496174,188683424,126.5,127.5,125.0,126.0,-1.0,1121
13,2020-09-18,1244389,157418903,126.0,127.5,125.0,127.5,1.5,906
14,2020-09-21,1179252,148526500,128.0,128.0,125.0,125.0,-2.5,896
15,2020-09-22,2173465,265535410,124.5,126.5,122.0,124.5,-0.5,1117
16,2020-09-23,2626761,327041364,125.5,126.0,122.5,124.5,0.0,1325
17,2020-09-24,2631607,323691768,123.0,124.0,122.0,123.0,-1.5,1426
18,2020-09-25,3094393,372039660,123.5,124.0,118.0,119.5,-3.5,1848
19,2020-09-28,1094810,132687510,121.5,122.5,119.5,121.5,2.0,814
20,2020-09-29,739056,90085302,123.0,123.0,121.0,121.5,0.0,469
21,2020-09-30,1191546,144078612,121.5,122.0,119.5,121.5,0.0,762
22,2020-10-05,1144913,138610973,121.0,123.0,120.0,120.5,-1.0,825
23,2020-10-06,2681785,331716340,121.5,125.0,121.5,124.0,3.5,1723
24,2020-10-07,1520140,188374000,124.0,124.5,123.0,124.5,0.5,1093
25,2020-10-08,2158532,269412730,126.0,126.0,124.0,124.5,0.0,1306
26,2020-10-12,3054028,362428213,125.5,125.5,122.0,122.0,-2.5,1274
27,2020-10-13,4170054,518433250,122.0,125.5,122.0,125.0,3.0,2198
28,2020-10-14,7584438,917857936,124.0,124.0,120.0,120.5,-4.5,5224
29,2020-10-15,3408135,407464700,120.0,121.0,118.5,119.5,-1.0,2135
30,2020-10-16,2253239,270266180,119.5,121.0,119.0,119.5,0.0,1423
31,2020-10-19,6363882,784734368,120.0,124.5,119.5,124.0,4.5,3860
32,2020-10-20,2546242,315382008,123.5,125.0,123.0,123.5,-0.5,1716
33,2020-10-21,2452176,302630218,123.5,125.0,122.5,123.0,-0.5,1523
